,PMID,Publication Title,Authors,Publication Date,Journal,dbgap_accession,RADx Program,Study Name,Citations,IF,All PHS,Study Count
13,33277976,American College of Rheumatology Clinical Guidance for Multisystem Inflammatory Syndrome in Children Associated With SARS-CoV-2 and Hyperinflammation in Pediatric COVID-19: Version 2.,"Henderson LA, Canna SW, Friedman KG, Gorelik M, Lapidus SK, Bassiri H, Behrens EM, Ferris A, Kernan KF, Schulert GS, Seo P, Son MBF, Tremoulet AH, Yeung RSM, Mudano AS, Turner AS, Karp DR, Mehta JJ",2021 Apr,"Arthritis & rheumatology (Hoboken, N.J.)",phs002603,RADx-rad,Diagnosis of MIS-C in Febrile Children,267,11.4,['phs002603'],1
14,37444079,Long COVID and Unemployment in Hawaii,"Bonham C, Juarez R, Siegal N",2023 Jun 27,International Journal of Environmental Research and Public Health,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,1,2.6,['phs002526'],1
15,36108254,Vaccine-Associated Shifts in SARS-CoV-2 Infectivity Among the Native Hawaiian and Other Pacific Islander Population in Hawaii,"Juarez R, Phankitnirundorn K, Ramirez A, Peres R, Maunakea AK, Okihiro M",2022 Nov,American Journal of Public Health,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,6,9.6,['phs002526'],1
16,36211565,Editorial: The biological impact of adversity on cardiovascular disease risk and obesity,"Baumer Y, Farmer N, Maunakea AK, Needham BL, Powell-Wiley TM",2022 Sep 21,Frontiers in Cardiovascular Medicine,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,1,2.8,['phs002526'],1
17,36146513,Dynamics of Trust and Consumption of COVID-19 Information Implicate a Mechanism for COVID-19 Vaccine and Booster Uptake,"Juarez R, Kang Z, Okihiro M, Garcia BK, Phankitnirundorn K, Maunakea AK",2022 Aug 31,Vaccines,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,8,5.2,['phs002526'],1
18,35746577,Opposing Role of Trust as a Modifier of COVID-19 Vaccine Uptake in an Indigenous Population,"Juarez R, Phankitnirundorn K, Okihiro M, Maunakea AK",2022 Jun 17,Vaccines,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,11,5.2,['phs002526'],1
19,35632529,The Effects of COVID-19 Vaccine Mandates in Hawaii,"Juarez R, Siegal N, Maunakea AK",2022 May 13,Vaccines,phs002526,RADx-UP,Community Driven Approach to Mitigate COVID-19 Disparities in Hawaii's Vulnerable Populations,7,5.2,['phs002526'],1
20,34845389,Real-time alerting system for COVID-19 and other stress events using wearable data.,"Alavi A, Bogu GK, Wang M, Rangan ES, Brooks AW, Wang Q, Higgs E, Celli A, Mishra T, Metwally AA, Cha K, Knowles P, Alavi AA, Bhasin R, Panchamukhi S, Celis D, Aditya T, Honkala A, Rolnik B, Hunting E, Dagan-Rosenfeld O, Chauhan A, Li JW, Bejikian C, Krishnan V, McGuire L, Li X, Bahmani A, Snyder MP",2022 Jan,Nature medicine,phs002523,RADx-rad,Multi-Modal Wireless COVID Monitoring and Infection Alerts for Concentrated Populations,82,58.7,['phs002523'],1
21,34189532,Real-time Alerting System for COVID-19 Using Wearable Data.,"Alavi A, Bogu GK, Wang M, Rangan ES, Brooks AW, Wang Q, Higgs E, Celli A, Mishra T, Metwally AA, Cha K, Knowles P, Alavi AA, Bhasin R, Panchamukhi S, Celis D, Aditya T, Honkala A, Rolnik B, Hunting E, Dagan-Rosenfeld O, Chauhan A, Li JW, Li X, Bahmani A, Snyder MP",2021 Jun 21,medRxiv : the preprint server for health sciences,phs002523,RADx-rad,Multi-Modal Wireless COVID Monitoring and Infection Alerts for Concentrated Populations,4,,['phs002523'],1
22,37651748,Goldilocks Energy Minimum: Peptide-Based Reversible Aggregation and Biosensing.,"Yim W, Retout M, Chen AA, Ling C, Amer L, Jin Z, Chang YC, Chavez S, Barrios K, Lam B, Li Z, Zhou J, Shi L, Pascal TA, Jokerst JV",2023 Sep 13,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,3,8.3,['phs002524'],1
23,37579082,Endoproteolysis of Oligopeptide-Based Coacervates for Enzymatic Modeling.,"Jin Z, Ling C, Yim W, Chang YC, He T, Li K, Zhou J, Cheng Y, Li Y, Yeung J, Wang R, FajtovÃ¡ P, Amer L, Mattoussi H, O'Donoghue AJ, Jokerst JV",2023 Sep 12,ACS nano,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,5,15.8,['phs002524'],1
24,37578304,An approach to zwitterionic peptide design for colorimetric detection of the Southampton norovirus SV3CP protease.,"Yeung J, Jin Z, Ling C, Retout M, Barbosa da Silva E, Damani M, Chang YC, Yim W, O'Donoghue AJ, Jokerst JV",2023 Sep 11,The Analyst,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,2,3.6,['phs002524'],1
25,37406055,Peptidic Sulfhydryl for Interfacing Nanocrystals and Subsequent Sensing of SARS-CoV-2 Protease.,"Jin Z, Yeung J, Zhou J, Cheng Y, Li Y, Mantri Y, He T, Yim W, Xu M, Wu Z, Fajtova P, Creyer MN, Moore C, Fu L, Penny WF, O'Donoghue AJ, Jokerst JV",2022 Feb 8,Chemistry of materials : a publication of the American Chemical Society,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,18,7.2,"['phs002525', 'phs002524']",2
26,37058597,Empirical Optimization of Peptide Sequence and Nanoparticle Colloidal Stability: The Impact of Surface Ligands and Implications for Colorimetric Sensing.,"Jin Z, Yeung J, Zhou J, Retout M, Yim W, FajtovÃ¡ P, Gosselin B, Jabin I, Bruylants G, Mattoussi H, O'Donoghue AJ, Jokerst JV",2023 Apr 26,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,8,8.3,['phs002524'],1
27,36908948,Peptide valence-induced breaks in plasmonic coupling.,"Chang YC, Jin Z, Li K, Zhou J, Yim W, Yeung J, Cheng Y, Retout M, Creyer MN, FajtovÃ¡ P, He T, Chen X, O'Donoghue AJ, Jokerst JV",2023 Mar 8,Chemical science,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,9,7.6,['phs002524'],1
28,36753444,Protease-Responsive Potential-Tunable AIEgens for Cell Selective Imaging of TMPRSS2 and Accurate Inhibitor Screening.,"Cheng Y, Clark AE, Yim W, Borum RM, Chang YC, Jin Z, He T, Carlin AF, Jokerst JV",2023 Feb 21,Analytical chemistry,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,3,6.7,['phs002524'],1
29,36409652,Peptide Amphiphile Mediated Co-assembly for Nanoplasmonic Sensing.,"Jin Z, Li Y, Li K, Zhou J, Yeung J, Ling C, Yim W, He T, Cheng Y, Xu M, Creyer MN, Chang YC, FajtovÃ¡ P, Retout M, Qi B, Li S, O'Donoghue AJ, Jokerst JV",2023 Jan 23,Angewandte Chemie (International ed. in English),phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,8,16.1,['phs002524'],1
30,36351199,Gold-Silver Core-Shell Nanoparticle Crosslinking Mediated by Protease Activity for Colorimetric Enzyme Detection.,"Creyer MN, Jin Z, Retout M, Yim W, Zhou J, Jokerst JV",2022 Nov 22,Langmuir : the ACS journal of surfaces and colloids,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,12,3.7,['phs002524'],1
31,36346642,Spacer Matters: All-Peptide-Based Ligand for Promoting Interfacial Proteolysis and Plasmonic Coupling.,"Jin Z, Ling C, Li Y, Zhou J, Li K, Yim W, Yeung J, Chang YC, He T, Cheng Y, FajtovÃ¡ P, Retout M, O'Donoghue AJ, Jokerst JV",2022 Nov 23,Nano letters,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,17,9.6,['phs002524'],1
32,36346346,Di-Arginine Additives for Dissociation of Gold Nanoparticle Aggregates: A Matrix-Insensitive Approach with Applications in Protease Detection.,"Retout M, Jin Z, Tsujimoto J, Mantri Y, Borum R, Creyer MN, Yim W, He T, Chang YC, Jokerst JV",2022 Nov 23,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,13,8.3,['phs002524'],1
33,35973073,A Self-Immolative Fluorescent Probe for Selective Detection of SARS-CoV-2 Main Protease.,"Xu M, Zhou J, Cheng Y, Jin Z, Clark AE, He T, Yim W, Li Y, Chang YC, Wu Z, FajtovÃ¡ P, O'Donoghue AJ, Carlin AF, Todd MD, Jokerst JV",2022 Aug 30,Analytical chemistry,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,6,6.7,['phs002524'],1
34,35878004,Protease-Responsive Peptide-Conjugated Mitochondrial-Targeting AIEgens for Selective Imaging and Inhibition of SARS-CoV-2-Infected Cells.,"Cheng Y, Clark AE, Zhou J, He T, Li Y, Borum RM, Creyer MN, Xu M, Jin Z, Zhou J, Yim W, Wu Z, FajtovÃ¡ P, O'Donoghue AJ, Carlin AF, Jokerst JV",2022 Aug 23,ACS nano,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,30,15.8,['phs002524'],1
35,35377141,Peptide-Induced Fractal Assembly of Silver Nanoparticles for Visual Detection of Disease Biomarkers.,"Retout M, Mantri Y, Jin Z, Zhou J, NoÃ«l G, Donovan B, Yim W, Jokerst JV",2022 Apr 26,ACS nano,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,28,15.8,['phs002524'],1
36,34936725,A Charge-Switchable Zwitterionic Peptide for Rapid Detection of SARS-CoV-2 Main Protease.,"Jin Z, Mantri Y, Retout M, Cheng Y, Zhou J, Jorns A, Fajtova P, Yim W, Moore C, Xu M, Creyer MN, Borum RM, Zhou J, Wu Z, He T, Penny WF, O'Donoghue AJ, Jokerst JV",2022 Feb 21,Angewandte Chemie (International ed. in English),phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,53,16.1,['phs002524'],1
37,34889013,A Dual-Color Fluorescent Probe Allows Simultaneous Imaging of Main and Papain-like Proteases of SARS-CoV-2-Infected Cells for Accurate Detection and Rapid Inhibitor Screening.,"Cheng Y, Borum RM, Clark AE, Jin Z, Moore C, FajtovÃ¡ P, O'Donoghue AJ, Carlin AF, Jokerst JV",2022 Feb 21,Angewandte Chemie (International ed. in English),phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,27,16.1,['phs002524'],1
38,34520186,Modulation of Gold Nanorod Growth via the Proteolysis of Dithiol Peptides for Enzymatic Biomarker Detection.,"Creyer MN, Jin Z, Moore C, Yim W, Zhou J, Jokerst JV",2021 Sep 29,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,17,8.3,['phs002524'],1
39,34309356,Mapping Aerosolized Saliva on Face Coverings for Biosensing Applications.,"Jin Z, Jorns A, Yim W, Wing R, Mantri Y, Zhou J, Zhou J, Wu Z, Moore C, Penny WF, Jokerst JV",2021 Aug 10,Analytical chemistry,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,23,6.7,['phs002524'],1
40,34038103,Activatable Carbocyanine Dimers for Photoacoustic and Fluorescent Detection of Protease Activity.,"Moore C, Borum RM, Mantri Y, Xu M, FajtovÃ¡ P, O'Donoghue AJ, Jokerst JV",2021 Jun 25,ACS sensors,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,36,8.2,['phs002524'],1
41,37651748,Goldilocks Energy Minimum: Peptide-Based Reversible Aggregation and Biosensing.,"Yim W, Retout M, Chen AA, Ling C, Amer L, Jin Z, Chang YC, Chavez S, Barrios K, Lam B, Li Z, Zhou J, Shi L, Pascal TA, Jokerst JV",2023 Sep 13,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,3,8.3,['phs002524'],1
42,37579082,Endoproteolysis of Oligopeptide-Based Coacervates for Enzymatic Modeling.,"Jin Z, Ling C, Yim W, Chang YC, He T, Li K, Zhou J, Cheng Y, Li Y, Yeung J, Wang R, FajtovÃ¡ P, Amer L, Mattoussi H, O'Donoghue AJ, Jokerst JV",2023 Sep 12,ACS nano,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,5,15.8,['phs002524'],1
43,37578304,An approach to zwitterionic peptide design for colorimetric detection of the Southampton norovirus SV3CP protease.,"Yeung J, Jin Z, Ling C, Retout M, Barbosa da Silva E, Damani M, Chang YC, Yim W, O'Donoghue AJ, Jokerst JV",2023 Sep 11,The Analyst,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,2,3.6,['phs002524'],1
44,37058597,Empirical Optimization of Peptide Sequence and Nanoparticle Colloidal Stability: The Impact of Surface Ligands and Implications for Colorimetric Sensing.,"Jin Z, Yeung J, Zhou J, Retout M, Yim W, FajtovÃ¡ P, Gosselin B, Jabin I, Bruylants G, Mattoussi H, O'Donoghue AJ, Jokerst JV",2023 Apr 26,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,8,8.3,['phs002524'],1
45,36908948,Peptide valence-induced breaks in plasmonic coupling.,"Chang YC, Jin Z, Li K, Zhou J, Yim W, Yeung J, Cheng Y, Retout M, Creyer MN, FajtovÃ¡ P, He T, Chen X, O'Donoghue AJ, Jokerst JV",2023 Mar 8,Chemical science,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,9,7.6,['phs002524'],1
46,36753444,Protease-Responsive Potential-Tunable AIEgens for Cell Selective Imaging of TMPRSS2 and Accurate Inhibitor Screening.,"Cheng Y, Clark AE, Yim W, Borum RM, Chang YC, Jin Z, He T, Carlin AF, Jokerst JV",2023 Feb 21,Analytical chemistry,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,3,6.7,['phs002524'],1
47,36409652,Peptide Amphiphile Mediated Co-assembly for Nanoplasmonic Sensing.,"Jin Z, Li Y, Li K, Zhou J, Yeung J, Ling C, Yim W, He T, Cheng Y, Xu M, Creyer MN, Chang YC, FajtovÃ¡ P, Retout M, Qi B, Li S, O'Donoghue AJ, Jokerst JV",2023 Jan 23,Angewandte Chemie (International ed. in English),phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,8,16.1,['phs002524'],1
48,36346642,Spacer Matters: All-Peptide-Based Ligand for Promoting Interfacial Proteolysis and Plasmonic Coupling.,"Jin Z, Ling C, Li Y, Zhou J, Li K, Yim W, Yeung J, Chang YC, He T, Cheng Y, FajtovÃ¡ P, Retout M, O'Donoghue AJ, Jokerst JV",2022 Nov 23,Nano letters,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,17,9.6,['phs002524'],1
49,36346346,Di-Arginine Additives for Dissociation of Gold Nanoparticle Aggregates: A Matrix-Insensitive Approach with Applications in Protease Detection.,"Retout M, Jin Z, Tsujimoto J, Mantri Y, Borum R, Creyer MN, Yim W, He T, Chang YC, Jokerst JV",2022 Nov 23,ACS applied materials & interfaces,phs002524,RADx-rad,Validation of Smart Masks for Surveillance of COVID-19,13,8.3,['phs002524'],1
50,37622131,Integrating Virus Monitoring Strategies for Safe Non-potable Water Reuse.,"Jiang SC, Bischel HN, Goel R, Rosso D, Sherchan S, Whiteson KL, Yan T, Solo-Gabriele HM",2022 Apr 2,Water,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,8,3.0,['phs002525'],1
51,37601294,Comparison of Electronegative Filtration to Magnetic Bead-Based Concentration and V2G-qPCR to RT-qPCR for Quantifying Viral SARS-CoV-2 RNA from Wastewater.,"Babler KM, Amirali A, Sharkey ME, Williams SL, Boone MM, Cosculluela GA, Currall BB, Grills GS, Laine J, Mason CE, Reding BD, SchÃ¼rer SC, Stevenson M, Vidovic D, Solo-Gabriele HM",2022 Nov 11,ACS ES&T water,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,16,4.8,['phs002525'],1
52,37502918,COVID-19 Case and Mortality Surveillance using Daily SARS-CoV-2 in Wastewater Samples adjusting for Meteorological Conditions and Sample pH.,"Abelson S, Penso J, Alsuliman B, Babler K, Sharkey M, Stevenson M, Grills G, Mason CE, Solo-Gabriele H, Kumar N",2023 Jul 12,medRxiv : the preprint server for health sciences,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,0,,['phs002525'],1
53,37406055,Peptidic Sulfhydryl for Interfacing Nanocrystals and Subsequent Sensing of SARS-CoV-2 Protease.,"Jin Z, Yeung J, Zhou J, Cheng Y, Li Y, Mantri Y, He T, Yim W, Xu M, Wu Z, Fajtova P, Creyer MN, Moore C, Fu L, Penny WF, O'Donoghue AJ, Jokerst JV",2022 Feb 8,Chemistry of materials : a publication of the American Chemical Society,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,18,7.2,"['phs002525', 'phs002524']",2
54,37216988,Monkeypox viral nucleic acids detected using both DNA and RNA extraction workflows.,"Sharkey ME, Babler KM, Shukla BS, Abelson SM, Alsuliman B, Amirali A, Comerford S, Grills GS, Kumar N, Laine J, Lee J, Lamar WE, Mason CE, Penso J, Reding BD, SchÃ¼rer SC, Stevenson M, VidoviÄ‡ D, Solo-Gabriele HM",2023 Sep 10,The Science of the total environment,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,12,8.2,['phs002525'],1
55,37160974,Highly host-linked viromes in the built environment possess habitat-dependent diversity and functions for potential virus-host coevolution.,"Du S, Tong X, Lai ACK, Chan CK, Mason CE, Lee PKH",2023 May 9,Nature communications,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,10,14.7,['phs002525'],1
56,36623667,Degradation rates influence the ability of composite samples to represent 24-hourly means of SARS-CoV-2 and other microbiological target measures in wastewater.,"Babler KM, Sharkey ME, Abelson S, Amirali A, Benitez A, Cosculluela GA, Grills GS, Kumar N, Laine J, Lamar W, Lamm ED, Lyu J, Mason CE, McCabe PM, Raghavender J, Reding BD, Roca MA, SchÃ¼rer SC, Stevenson M, Szeto A, Tallon JJ Jr, VidoviÄ‡ D, Zarnegarnia Y, Solo-Gabriele HM",2023 Apr 1,The Science of the total environment,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,13,8.2,['phs002525'],1
57,36398131,"Relationships between SARS-CoV-2 in Wastewater and COVID-19 Clinical Cases and Hospitalizations, with and without Normalization against Indicators of Human Waste.","Zhan Q, Babler KM, Sharkey ME, Amirali A, Beaver CC, Boone MM, Comerford S, Cooper D, Cortizas EM, Currall BB, Foox J, Grills GS, Kobetz E, Kumar N, Laine J, Lamar WE, Mantero AMA, Mason CE, Reding BD, Robertson M, Roca MA, Ryon K, SchÃ¼rer SC, Shukla BS, Solle NS, Stevenson M, Tallon JJ Jr, Thomas C, Thomas T, VidoviÄ‡ D, Williams SL, Yin X, Solo-Gabriele HM",2022 Nov 11,ACS ES&T water,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,67,4.8,['phs002525'],1
58,36292799,Supervised Machine Learning Enables Geospatial Microbial Provenance.,"Bhattacharya C, Tierney BT, Ryon KA, Bhattacharyya M, Hastings JJA, Basu S, Bhattacharya B, Bagchi D, Mukherjee S, Wang L, Henaff EM, Mason CE",2022 Oct 21,Genes,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,3,2.8,['phs002525'],1
59,36202365,"Predicting COVID-19 cases using SARS-CoV-2 RNA in air, surface swab and wastewater samples.","Solo-Gabriele HM, Kumar S, Abelson S, Penso J, Contreras J, Babler KM, Sharkey ME, Mantero AMA, Lamar WE, Tallon JJ Jr, Kobetz E, Solle NS, Shukla BS, Kenney RJ, Mason CE, SchÃ¼rer SC, Vidovic D, Williams SL, Grills GS, Jayaweera DT, Mirsaeidi M, Kumar N",2023 Jan 20,The Science of the total environment,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,22,8.2,['phs002525'],1
60,35999570,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome.,"Madrigal P, Singh NK, Wood JM, Gaudioso E, HernÃ¡ndez-Del-Olmo F, Mason CE, Venkateswaran K, Beheshti A",2022 Aug 24,Microbiome,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,20,13.8,['phs002525'],1
61,35864089,A metagenomic DNA sequencing assay that is robust against environmental DNA contamination.,"Mzava O, Cheng AP, Chang A, Smalling S, Djomnang LK, Lenz JS, Longman R, Steadman A, GÃ³mez-Escobar LG, Schenck EJ, Salvatore M, Satlin MJ, Suthanthiran M, Lee JR, Mason CE, Dadhania D, De Vlaminck I",2022 Jul 21,Nature communications,phs002525,RADx-rad,SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,14,14.7,['phs002525'],1
